date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:36:54	20/20	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Apr%202024%2018:36:54%20GMT	https://frc4079.org/robots.txt		(from )
11:36:54	67064/67064	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Jun%202023%2023:13:00%20GMT	https://frc4079.org/	C:/Users/theli/Documents/VSC%20Projects/example/roboticsweb/frc4079.org/index.html	(from )
11:36:54	135809/135809	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2221281-5ed9ec74348dd%22	https://frc4079.org/assets/img/favicon.svg	C:/Users/theli/Documents/VSC%20Projects/example/roboticsweb/frc4079.org/assets/img/favicon.svg	(from https://frc4079.org/)
11:36:54	153402/153402	---M-Z	200	added ('OK')	text/css	etag:%222573a-5ed9ec7430a5d-gzip%22	https://frc4079.org/assets/css/bootstrap-5.0.0-beta2.min.css	C:/Users/theli/Documents/VSC%20Projects/example/roboticsweb/frc4079.org/assets/css/bootstrap-5.0.0-beta2.min.css	(from https://frc4079.org/)
11:36:55	22375/22375	---MCZ	200	added ('OK')	text/css	etag:W/%226e64-5ed9ec7430a5d-gzip%22	https://frc4079.org/assets/css/LineIcons.2.0.css	C:/Users/theli/Documents/VSC%20Projects/example/roboticsweb/frc4079.org/assets/css/LineIcons.2.0.css	(from https://frc4079.org/)
11:36:55	2096/2096	---MCZ	200	added ('OK')	text/css	etag:W/%22882-5ed9ec7430a5d-gzip%22	https://frc4079.org/assets/css/tiny-slider.css	C:/Users/theli/Documents/VSC%20Projects/example/roboticsweb/frc4079.org/assets/css/tiny-slider.css	(from https://frc4079.org/)
11:36:55	53657/53657	---MCZ	200	added ('OK')	text/css	etag:W/%22113c0-5ed9ec7430a5d-gzip%22	https://frc4079.org/assets/css/animate.css	C:/Users/theli/Documents/VSC%20Projects/example/roboticsweb/frc4079.org/assets/css/animate.css	(from https://frc4079.org/)
11:36:55	25572/25572	---MCZ	200	added ('OK')	text/css	etag:W/%227dde-5ed9ec7430a5d-gzip%22	https://frc4079.org/assets/css/main.css	C:/Users/theli/Documents/VSC%20Projects/example/roboticsweb/frc4079.org/assets/css/main.css	(from https://frc4079.org/)
11:36:56	67064/67064	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Jun%202023%2023:13:00%20GMT	https://frc4079.org/index.html	C:/Users/theli/Documents/VSC%20Projects/example/roboticsweb/frc4079.org/index-2.html	(from https://frc4079.org/)
11:36:56	75006/75006	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22124fe-5ed9ec74348dd%22	https://frc4079.org/assets/img/logo/logo.svg	C:/Users/theli/Documents/VSC%20Projects/example/roboticsweb/frc4079.org/assets/img/logo/logo.svg	(from https://frc4079.org/)
11:36:56	1023718/1023718	---M--	200	added ('OK')	image/png	etag:%22f9ee6-5ed9ec74348dd%22	https://frc4079.org/assets/img/hero/team1.png	C:/Users/theli/Documents/VSC%20Projects/example/roboticsweb/frc4079.org/assets/img/hero/team1.png	(from https://frc4079.org/)
11:36:56	2859602/2859602	---M--	200	added ('OK')	image/png	etag:%222ba252-5ed9ec743299d%22	https://frc4079.org/assets/img/about/collage.png	C:/Users/theli/Documents/VSC%20Projects/example/roboticsweb/frc4079.org/assets/img/about/collage.png	(from https://frc4079.org/)
11:36:56	3113134/3113134	---M--	200	added ('OK')	image/png	etag:%222f80ae-5ed9ec743393d%22	https://frc4079.org/assets/img/counter-up/collage2.png	C:/Users/theli/Documents/VSC%20Projects/example/roboticsweb/frc4079.org/assets/img/counter-up/collage2.png	(from https://frc4079.org/)
11:37:16	124704/124704	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%221e720-5ed9ec7430a5d%22	https://frc4079.org/assets/fonts/LineIcons.eot	C:/Users/theli/Documents/VSC%20Projects/example/roboticsweb/frc4079.org/assets/fonts/LineIcons.eot	(from https://frc4079.org/assets/css/LineIcons.2.0.css)
11:37:16	51676/51676	---M--	200	added ('OK')	font/woff2	etag:%22c9dc-5ed9ec74319fd%22	https://frc4079.org/assets/fonts/LineIcons.woff2	C:/Users/theli/Documents/VSC%20Projects/example/roboticsweb/frc4079.org/assets/fonts/LineIcons.woff2	(from https://frc4079.org/assets/css/LineIcons.2.0.css)
